Question,Answer
"Where was the PM2.5 level highest on 03-Mar, 18?",The highest PM2.5 level on 03-Mar-18 was in Gurugram at 93.67.
"Brajrajnagar, NO, 24-Jan, 15",No data available for this date and city.
"Which city had the highest CO level on 16-Mar, 20?",The highest CO level on 16-Mar-20 was in Ernakulam at 1.58.
"Where was the NO level highest on 30-Sep, 18?",The highest NO level on 30-Sep-18 was in Delhi at 20.83.
"Which city had the highest CO level on 10-Mar, 19?",The highest CO level on 10-Mar-19 was in Jaipur at 1.06.
"Where was the NH3 level highest on 13-Dec, 15?",The highest NH3 level on 13-Dec-15 was in Bengaluru at 12.64.
"Compare PM2.5 levels between Kochi and Shillong on 20-Jun, 17.",No data available for this date and city.
"Compare NO levels between Lucknow and Talcher on 28-Nov, 18.",No data available for this date and city.
"Shillong, NOx, 29-Jun, 17",No data available for this date and city.
"Jorapokhar, NO, 15-Sep, 19",The NO level in Jorapokhar on 15-Sep-19 was 8.87.
"Amaravati, NO, 03-Jan, 17",No data available for this date and city.
"Compare NO2 levels between Patna and Shillong on 16-Sep, 15.",No data available for this date and city.
"Chennai, NO2, 22-Sep, 19",The NO2 level in Chennai on 22-Sep-19 was 16.38.
"Which city had the highest PM10 level on 11-Sep, 15?",The highest PM10 level on 11-Sep-15 was in Lucknow at 58.88.
"Which city had the highest NH3 level on 05-Jan, 15?",The highest NH3 level on 05-Jan-15 was in Bengaluru at 31.38.
"Which city had the highest CO level on 16-Jun, 16?",The highest CO level on 16-Jun-16 was in Lucknow at 1.12.
"Which city had the highest NOx level on 09-Jan, 17?",The highest NOx level on 09-Jan-17 was in Bengaluru at 17.79.
"Compare PM2.5 levels between Amaravati and Kochi on 19-Feb, 19.",The PM2.5 level in Amaravati on 19-Feb-19 was 32.07.
"Shillong, NH3, 02-Feb, 20",The NH3 level in Shillong on 02-Feb-20 was 3.12.
"Which city had the highest PM2.5 level on 04-Sep, 17?",The highest PM2.5 level on 04-Sep-17 was in Bengaluru at 39.74.
"Compare NO2 levels between Patna and Gurugram on 05-Apr, 17.","On 05-Apr-17, NO2 level was 10.7 in Patna and 10.04 in Gurugram."
"Shillong, NO2, 13-Aug, 18",No data available for this date and city.
"Amritsar, SO2, 11-Apr, 19",The SO2 level in Amritsar on 11-Apr-19 was 7.36.
"Compare SO2 levels between Chandigarh and Guwahati on 11-Aug, 15.",No data available for this date and city.
"Where was the SO2 level highest on 14-May, 15?",The highest SO2 level on 14-May-15 was in Hyderabad at 7.7.
"Which city had the highest NO level on 06-Jun, 19?",The highest NO level on 06-Jun-19 was in Amritsar at 18.38.
"Where was the SO2 level highest on 27-Jan, 18?",The highest SO2 level on 27-Jan-18 was in Hyderabad at 13.62.
"Which city had the highest PM10 level on 06-Jan, 15?",The highest PM10 level on 06-Jan-15 was in Mumbai at 58.88.
"Where was the NO level highest on 20-Mar, 18?",The highest NO level on 20-Mar-18 was in Chennai at 15.15.
"Bhopal, PM2.5, 23-Oct, 16",No data available for this date and city.
"Where was the PM2.5 level highest on 18-Jul, 18?",The highest PM2.5 level on 18-Jul-18 was in Jaipur at 70.35.
"Where was the PM10 level highest on 30-Nov, 19?",The highest PM10 level on 30-Nov-19 was in Brajrajnagar at 159.2.
"Which city had the highest SO2 level on 14-Aug, 19?",The highest SO2 level on 14-Aug-19 was in Amaravati at 12.16.
"Where was the SO2 level highest on 30-Apr, 20?",The highest SO2 level on 30-Apr-20 was in Amaravati at 19.3.
"Which city had the highest PM2.5 level on 18-May, 18?",The highest PM2.5 level on 18-May-18 was in Amritsar at 84.74.
"Where was the NO level highest on 26-Oct, 19?",The highest NO level on 26-Oct-19 was in Chennai at 15.05.
"Kochi, NO, 13-Jul, 16",No data available for this date and city.
"Where was the SO2 level highest on 21-Aug, 17?",The highest SO2 level on 21-Aug-17 was in Jorapokhar at 12.18.
"Compare PM2.5 levels between Thiruvananthapuram and Amaravati on 27-Apr, 18.","On 27-Apr-18, PM2.5 level was 35.06 in Thiruvananthapuram and 11.04 in Amaravati."
"Which city had the highest NOx level on 10-Nov, 18?",The highest NOx level on 10-Nov-18 was in Brajrajnagar at 41.39.
"Which city had the highest NOx level on 18-Jan, 17?",The highest NOx level on 18-Jan-17 was in Bengaluru at 17.79.
"Which city had the highest NO level on 14-Mar, 19?",The highest NO level on 14-Mar-19 was in Chennai at 14.37.
"Compare NH3 levels between Kolkata and Patna on 24-Oct, 18.",No data available for this date and city.
"Which city had the highest PM2.5 level on 27-Aug, 18?",The highest PM2.5 level on 27-Aug-18 was in Lucknow at 73.24.
"Where was the NO level highest on 19-Mar, 15?",The highest NO level on 19-Mar-15 was in Chennai at 14.24.
"Bengaluru, NOx, 14-Jan, 18",The NOx level in Bengaluru on 14-Jan-18 was 30.63.
"Ahmedabad, NH3, 31-Aug, 15",No data available for this date and city.
"Compare SO2 levels between Chennai and Amritsar on 26-Mar, 17.","On 26-Mar-17, SO2 level was 3.46 in Chennai and 7.96 in Amritsar."
"Where was the NH3 level highest on 13-Jul, 17?",The highest NH3 level on 13-Jul-17 was in Bengaluru at 27.1.
"Kolkata, NO2, 11-Aug, 17",No data available for this date and city.
"Which city had the highest PM10 level on 16-Feb, 18?",The highest PM10 level on 16-Feb-18 was in Amritsar at 181.17.
"Where was the SO2 level highest on 10-Mar, 16?",The highest SO2 level on 10-Mar-16 was in Mumbai at 7.36.
"Where was the NH3 level highest on 26-Mar, 20?",The highest NH3 level on 26-Mar-20 was in Chandigarh at 41.23.
"Amritsar, NOx, 01-Jul, 15",No data available for this date and city.
"Jaipur, PM2.5, 10-Jan, 16",No data available for this date and city.
"Amaravati, NO2, 13-Jan, 16",No data available for this date and city.
"Where was the NO level highest on 26-Jun, 16?",The highest NO level on 26-Jun-16 was in Patna at 17.02.
"Where was the NO level highest on 25-Apr, 16?",The highest NO level on 25-Apr-16 was in Mumbai at 7.5.
"Amaravati, NO, 05-Jun, 19",No data available for this date and city.
"Coimbatore, NOx, 30-Oct, 16",No data available for this date and city.
"Compare NH3 levels between Amaravati and Jorapokhar on 12-Mar, 17.",No data available for this date and city.
"Which city had the highest SO2 level on 06-Oct, 17?",The highest SO2 level on 06-Oct-17 was in Delhi at 13.91.
"Compare PM10 levels between Kolkata and Bhopal on 17-Oct, 15.",No data available for this date and city.
"Amritsar, SO2, 25-May, 16",No data available for this date and city.
"Visakhapatnam, NO2, 10-May, 15",No data available for this date and city.
"Where was the PM2.5 level highest on 08-Feb, 18?",The highest PM2.5 level on 08-Feb-18 was in Jaipur at 53.61.
"Thiruvananthapuram, NH3, 01-Dec, 18",The NH3 level in Thiruvananthapuram on 01-Dec-18 was 5.12.
"Where was the PM10 level highest on 03-Jan, 18?",The highest PM10 level on 03-Jan-18 was in Amritsar at 179.58.
"Where was the NO2 level highest on 27-Mar, 15?",The highest NO2 level on 27-Mar-15 was in Hyderabad at 13.92.
"Compare CO levels between Lucknow and Jaipur on 25-Dec, 15.",No data available for this date and city.
"Which city had the highest NH3 level on 24-Jan, 16?",The highest NH3 level on 24-Jan-16 was in Mumbai at 11.86.
"Compare CO levels between Shillong and Coimbatore on 09-Feb, 18.",No data available for this date and city.
"Which city had the highest PM10 level on 04-Sep, 17?",The highest PM10 level on 04-Sep-17 was in Jaipur at 105.84.
"Shillong, PM10, 04-Sep, 19",No data available for this date and city.
"Talcher, PM2.5, 23-Mar, 17",No data available for this date and city.
"Compare NH3 levels between Mumbai and Guwahati on 10-Oct, 16.",No data available for this date and city.
"Compare SO2 levels between Gurugram and Delhi on 10-Aug, 18.",The SO2 level in Gurugram on 10-Aug-18 was 6.54.
"Aizawl, CO, 25-Oct, 15",No data available for this date and city.
"Jorapokhar, NOx, 27-Nov, 19",No data available for this date and city.
"Compare PM10 levels between Chennai and Aizawl on 10-Jun, 15.",No data available for this date and city.
"Which city had the highest PM10 level on 02-Jun, 15?",The highest PM10 level on 02-Jun-15 was in Mumbai at 58.88.
"Which city had the highest NH3 level on 18-Apr, 19?",The highest NH3 level on 18-Apr-19 was in Delhi at 26.28.
"Which city had the highest NO level on 09-Mar, 15?",The highest NO level on 09-Mar-15 was in Hyderabad at 14.2.
"Compare CO levels between Gurugram and Coimbatore on 10-Sep, 18.",No data available for this date and city.
"Compare CO levels between Kolkata and Guwahati on 05-Jun, 19.","On 05-Jun-19, CO level was 0.39 in Kolkata and 0.45 in Guwahati."
"Compare PM10 levels between Gurugram and Coimbatore on 14-Jul, 16.",The PM10 level in Gurugram on 14-Jul-16 was 58.88.
"Chennai, PM2.5, 07-Apr, 20",No data available for this date and city.
"Compare PM10 levels between Visakhapatnam and Bhopal on 22-Nov, 15.",No data available for this date and city.
"Compare NH3 levels between Shillong and Patna on 13-Oct, 17.",No data available for this date and city.
"Kochi, NO2, 14-Apr, 19",No data available for this date and city.
"Compare PM10 levels between Jorapokhar and Ahmedabad on 22-Dec, 17.",No data available for this date and city.
"Where was the NO2 level highest on 07-Jul, 19?",The highest NO2 level on 07-Jul-19 was in Jaipur at 31.21.
"Compare NH3 levels between Amritsar and Visakhapatnam on 17-Jun, 15.",No data available for this date and city.
"Jorapokhar, NO2, 13-Jun, 15",No data available for this date and city.
"Kolkata, SO2, 14-Nov, 17",No data available for this date and city.
"Amaravati, NH3, 02-Feb, 16",No data available for this date and city.
"Compare CO levels between Chandigarh and Jorapokhar on 01-Nov, 17.",No data available for this date and city.
"Compare PM2.5 levels between Delhi and Patna on 09-Jun, 18.",The PM2.5 level in Delhi on 09-Jun-18 was 52.79.
"Where was the NO2 level highest on 18-Sep, 17?",The highest NO2 level on 18-Sep-17 was in Delhi at 56.67.
"Compare PM2.5 levels between Ernakulam and Mumbai on 20-Oct, 19.",No data available for this date and city.
"Compare SO2 levels between Jorapokhar and Brajrajnagar on 08-Nov, 16.",No data available for this date and city.
"Visakhapatnam, SO2, 11-Mar, 18",The SO2 level in Visakhapatnam on 11-Mar-18 was 14.67.
"Talcher, PM10, 15-Mar, 19",No data available for this date and city.
"Which city had the highest PM10 level on 16-Feb, 18?",The highest PM10 level on 16-Feb-18 was in Amritsar at 181.17.
"Where was the NO level highest on 23-Mar, 20?",The highest NO level on 23-Mar-20 was in Amritsar at 17.86.
"Which city had the highest NOx level on 20-Apr, 15?",The highest NOx level on 20-Apr-15 was in Mumbai at 30.29.
"Where was the NO2 level highest on 09-Oct, 16?",The highest NO2 level on 09-Oct-16 was in Hyderabad at 45.99.
"Compare PM10 levels between Amaravati and Amritsar on 21-Feb, 20.","On 21-Feb-20, PM10 level was 61.83 in Amaravati and 73.67 in Amritsar."
"Talcher, CO, 15-May, 19",No data available for this date and city.
"Chandigarh, NH3, 02-Nov, 19",No data available for this date and city.
"Where was the CO level highest on 19-Mar, 19?",The highest CO level on 19-Mar-19 was in Lucknow at 1.29.
"Compare NO2 levels between Coimbatore and Bengaluru on 09-Jan, 17.",No data available for this date and city.
"Where was the NO level highest on 26-Aug, 19?",The highest NO level on 26-Aug-19 was in Delhi at 15.89.
"Where was the PM2.5 level highest on 21-Jul, 19?",The highest PM2.5 level on 21-Jul-19 was in Delhi at 50.57.
"Where was the SO2 level highest on 28-May, 18?",The highest SO2 level on 28-May-18 was in Jaipur at 15.87.
"Where was the PM10 level highest on 19-Jan, 19?",The highest PM10 level on 19-Jan-19 was in Hyderabad at 159.37.
"Kochi, PM10, 16-Jul, 18",No data available for this date and city.
"Compare SO2 levels between Jorapokhar and Jaipur on 09-Jan, 20.",No data available for this date and city.
"Where was the PM10 level highest on 29-Feb, 16?",The highest PM10 level on 29-Feb-16 was in Bengaluru at 144.04.
"Where was the SO2 level highest on 07-Jun, 17?",The highest SO2 level on 07-Jun-17 was in Chennai at 6.22.
"Where was the CO level highest on 14-Feb, 18?",The highest CO level on 14-Feb-18 was in Delhi at 0.96.
"Which city had the highest NOx level on 02-Dec, 18?",The highest NOx level on 02-Dec-18 was in Hyderabad at 33.02.
"Where was the CO level highest on 18-Feb, 15?",The highest CO level on 18-Feb-15 was in Hyderabad at 1.18.
"Where was the PM2.5 level highest on 24-Nov, 16?",The highest PM2.5 level on 24-Nov-16 was in Chennai at 91.49.
"Where was the PM10 level highest on 31-Mar, 18?",The highest PM10 level on 31-Mar-18 was in Amritsar at 175.86.
"Chennai, NO, 15-Mar, 19",The NO level in Chennai on 15-Mar-19 was 18.81.
"Compare NO levels between Lucknow and Aizawl on 29-Sep, 16.",The NO level in Lucknow on 29-Sep-16 was 4.92.
"Where was the PM2.5 level highest on 27-May, 20?",The highest PM2.5 level on 27-May-20 was in Lucknow at 107.05.
"Which city had the highest PM2.5 level on 15-May, 16?",The highest PM2.5 level on 15-May-16 was in Gurugram at 90.87.
"Chennai, CO, 18-Jan, 16",No data available for this date and city.
"Compare PM10 levels between Bengaluru and Hyderabad on 25-Feb, 15.","On 25-Feb-15, PM10 level was 58.88 in Bengaluru and 58.88 in Hyderabad."
"Compare NO levels between Mumbai and Ahmedabad on 12-Jan, 19.",No data available for this date and city.
"Which city had the highest NO level on 19-Mar, 20?",The highest NO level on 19-Mar-20 was in Visakhapatnam at 21.71.
"Where was the NOx level highest on 03-May, 16?",The highest NOx level on 03-May-16 was in Mumbai at 35.46.
"Which city had the highest NH3 level on 02-Apr, 15?",The highest NH3 level on 02-Apr-15 was in Hyderabad at 11.86.
"Compare NO levels between Shillong and Jorapokhar on 24-Jul, 16.",No data available for this date and city.
"Ernakulam, NOx, 19-Sep, 16",No data available for this date and city.
"Compare NO2 levels between Patna and Chandigarh on 06-Jun, 20.",No data available for this date and city.
"Compare NO levels between Hyderabad and Visakhapatnam on 24-Dec, 19.","On 24-Dec-19, NO level was 8.67 in Hyderabad and 3.06 in Visakhapatnam."
"Compare NH3 levels between Chandigarh and Mumbai on 20-Jun, 19.",No data available for this date and city.
"Which city had the highest PM10 level on 25-Oct, 17?",The highest PM10 level on 25-Oct-17 was in Hyderabad at 159.54.
"Compare NH3 levels between Gurugram and Kolkata on 19-Jan, 20.",The NH3 level in Gurugram on 19-Jan-20 was 11.86.
"Compare NO levels between Talcher and Chandigarh on 29-May, 19.",No data available for this date and city.
"Where was the SO2 level highest on 04-Apr, 18?",The highest SO2 level on 04-Apr-18 was in Amaravati at 8.7.
"Where was the SO2 level highest on 08-Apr, 18?",The highest SO2 level on 08-Apr-18 was in Chennai at 11.9.
"Which city had the highest CO level on 25-Feb, 18?",The highest CO level on 25-Feb-18 was in Bengaluru at 0.92.
"Compare NO levels between Chandigarh and Kolkata on 02-Nov, 19.",No data available for this date and city.
"Jorapokhar, PM10, 26-Jan, 19",No data available for this date and city.
"Ernakulam, NOx, 20-Dec, 16",No data available for this date and city.
"Where was the SO2 level highest on 11-Jul, 16?",The highest SO2 level on 11-Jul-16 was in Visakhapatnam at 9.72.
"Which city had the highest SO2 level on 29-Dec, 17?",The highest SO2 level on 29-Dec-17 was in Amaravati at 9.47.
"Brajrajnagar, PM10, 05-Nov, 15",No data available for this date and city.
"Compare NO levels between Kochi and Bengaluru on 25-Jan, 20.",No data available for this date and city.
"Where was the PM10 level highest on 25-Sep, 16?",The highest PM10 level on 25-Sep-16 was in Bengaluru at 131.33.
"Where was the NO level highest on 03-Jul, 18?",The highest NO level on 03-Jul-18 was in Bengaluru at 23.02.
"Lucknow, SO2, 02-May, 15",No data available for this date and city.
"Delhi, PM10, 21-Jul, 17",The PM10 level in Delhi on 21-Jul-17 was 58.88.
"Which city had the highest CO level on 27-Apr, 15?",The highest CO level on 27-Apr-15 was in Bengaluru at 1.26.
"Which city had the highest CO level on 16-Apr, 15?",The highest CO level on 16-Apr-15 was in Hyderabad at 0.76.
"Where was the NOx level highest on 11-Dec, 17?",The highest NOx level on 11-Dec-17 was in Bengaluru at 41.9.
"Compare CO levels between Lucknow and Chandigarh on 10-May, 19.",The CO level in Lucknow on 10-May-19 was 1.15.
"Which city had the highest NO2 level on 09-Nov, 16?",The highest NO2 level on 09-Nov-16 was in Bengaluru at 28.38.
"Brajrajnagar, NO2, 16-Jan, 16",No data available for this date and city.
"Chennai, CO, 01-Nov, 19",No data available for this date and city.
"Which city had the highest SO2 level on 30-Apr, 20?",The highest SO2 level on 30-Apr-20 was in Amaravati at 19.3.
"Bengaluru, PM2.5, 25-Aug, 15",No data available for this date and city.
"Compare NOx levels between Jaipur and Bhopal on 11-Sep, 19.",The NOx level in Jaipur on 11-Sep-19 was 33.37.
"Brajrajnagar, NO2, 13-Apr, 20",The NO2 level in Brajrajnagar on 13-Apr-20 was 19.16.
"Lucknow, PM10, 30-Jun, 20",The PM10 level in Lucknow on 30-Jun-20 was 58.88.
"Where was the CO level highest on 07-Jan, 18?",The highest CO level on 07-Jan-18 was in Thiruvananthapuram at 1.27.
"Lucknow, NO, 23-Apr, 20",The NO level in Lucknow on 23-Apr-20 was 2.95.
"Where was the CO level highest on 31-Aug, 19?",The highest CO level on 31-Aug-19 was in Jorapokhar at 1.96.
"Chennai, NH3, 03-Sep, 15",The NH3 level in Chennai on 03-Sep-15 was 23.58.
"Thiruvananthapuram, NOx, 31-Mar, 16",No data available for this date and city.
"Which city had the highest NH3 level on 25-Jun, 20?",The highest NH3 level on 25-Jun-20 was in Chennai at 33.84.
"Which city had the highest PM10 level on 04-Oct, 15?",The highest PM10 level on 04-Oct-15 was in Hyderabad at 59.29.
"Kochi, NO, 27-Mar, 15",No data available for this date and city.
"Kolkata, NO, 01-Jan, 15",No data available for this date and city.
"Where was the SO2 level highest on 28-Sep, 16?",The highest SO2 level on 28-Sep-16 was in Bengaluru at 5.66.
"Which city had the highest NO2 level on 15-Oct, 18?",The highest NO2 level on 15-Oct-18 was in Visakhapatnam at 51.42.
"Which city had the highest PM2.5 level on 21-Mar, 19?",The highest PM2.5 level on 21-Mar-19 was in Jorapokhar at 72.12.
"Mumbai, NO, 19-Mar, 15",No data available for this date and city.
"Where was the SO2 level highest on 11-May, 16?",The highest SO2 level on 11-May-16 was in Hyderabad at 7.73.
"Compare PM2.5 levels between Aizawl and Chandigarh on 11-Apr, 18.",No data available for this date and city.
"Compare NH3 levels between Kochi and Shillong on 07-Mar, 16.",No data available for this date and city.
"Where was the NO level highest on 01-Apr, 17?",The highest NO level on 01-Apr-17 was in Visakhapatnam at 19.02.
"Compare NOx levels between Shillong and Guwahati on 14-May, 17.",No data available for this date and city.
"Thiruvananthapuram, SO2, 22-Feb, 20",The SO2 level in Thiruvananthapuram on 22-Feb-20 was 6.61.
"Compare PM2.5 levels between Kochi and Gurugram on 24-Mar, 19.",No data available for this date and city.
"Patna, PM2.5, 20-Oct, 15",The PM2.5 level in Patna on 20-Oct-15 was 83.8.
"Compare PM10 levels between Hyderabad and Gurugram on 22-Mar, 15.",The PM10 level in Hyderabad on 22-Mar-15 was 58.88.
"Jaipur, PM10, 01-Jun, 17",No data available for this date and city.
"Which city had the highest NH3 level on 08-Jan, 17?",The highest NH3 level on 08-Jan-17 was in Bengaluru at 25.52.
"Where was the NH3 level highest on 05-Apr, 19?",The highest NH3 level on 05-Apr-19 was in Jaipur at 26.03.
"Ernakulam, NO2, 04-Apr, 18",No data available for this date and city.
"Where was the NO2 level highest on 03-Jun, 15?",The highest NO2 level on 03-Jun-15 was in Bengaluru at 19.98.
"Bhopal, NO, 25-Dec, 17",No data available for this date and city.
"Which city had the highest NO level on 19-Apr, 16?",The highest NO level on 19-Apr-16 was in Mumbai at 7.5.
"Where was the SO2 level highest on 08-Jun, 18?",The highest SO2 level on 08-Jun-18 was in Visakhapatnam at 17.91.
"Where was the NO2 level highest on 28-Jan, 19?",The highest NO2 level on 28-Jan-19 was in Amaravati at 55.79.
"Compare NO levels between Chennai and Gurugram on 25-Jun, 19.",The NO level in Chennai on 25-Jun-19 was 8.2.
"Where was the NH3 level highest on 12-Apr, 17?",The highest NH3 level on 12-Apr-17 was in Amritsar at 28.98.
"Amaravati, CO, 22-May, 17",No data available for this date and city.
"Compare NH3 levels between Jaipur and Amaravati on 25-Jan, 18.",No data available for this date and city.
"Talcher, NH3, 30-Jul, 19",No data available for this date and city.
"Kolkata, NH3, 07-Dec, 18",No data available for this date and city.
"Where was the NO level highest on 25-Nov, 16?",The highest NO level on 25-Nov-16 was in Bengaluru at 12.75.
"Jorapokhar, NOx, 04-Oct, 15",No data available for this date and city.
"Where was the NOx level highest on 05-May, 20?",The highest NOx level on 05-May-20 was in Coimbatore at 45.32.
"Which city had the highest CO level on 06-Jun, 19?",The highest CO level on 06-Jun-19 was in Brajrajnagar at 2.01.
"Ahmedabad, SO2, 21-Jun, 19",No data available for this date and city.
"Where was the NO2 level highest on 04-Oct, 18?",The highest NO2 level on 04-Oct-18 was in Visakhapatnam at 37.26.
"Compare NO2 levels between Patna and Chennai on 24-Aug, 19.",No data available for this date and city.
"Which city had the highest NOx level on 06-Jun, 16?",The highest NOx level on 06-Jun-16 was in Patna at 27.03.
"Delhi, NH3, 05-Mar, 15",No data available for this date and city.
"Where was the PM2.5 level highest on 27-Jan, 18?",The highest PM2.5 level on 27-Jan-18 was in Amaravati at 77.78.
"Which city had the highest PM2.5 level on 20-Jul, 15?",The highest PM2.5 level on 20-Jul-15 was in Mumbai at 36.43.
"Where was the CO level highest on 24-Jul, 18?",The highest CO level on 24-Jul-18 was in Gurugram at 1.1.
"Where was the NO level highest on 31-Jul, 15?",The highest NO level on 31-Jul-15 was in Patna at 18.86.
"Patna, NO, 19-Apr, 18",No data available for this date and city.
"Compare NO2 levels between Kolkata and Ernakulam on 09-Nov, 16.",No data available for this date and city.
"Compare CO levels between Hyderabad and Visakhapatnam on 20-Jun, 19.","On 20-Jun-19, CO level was 0.32 in Hyderabad and 0.89 in Visakhapatnam."
"Amritsar, PM10, 20-Jun, 17",The PM10 level in Amritsar on 20-Jun-17 was 78.05.
"Aizawl, NH3, 07-Jun, 15",No data available for this date and city.
"Compare PM10 levels between Thiruvananthapuram and Brajrajnagar on 05-Sep, 16.",No data available for this date and city.
"Kolkata, NO2, 31-Mar, 18",No data available for this date and city.
"Where was the SO2 level highest on 16-Sep, 17?",The highest SO2 level on 16-Sep-17 was in Hyderabad at 13.08.
"Compare NH3 levels between Jaipur and Kolkata on 21-Apr, 16.",No data available for this date and city.
"Where was the NOx level highest on 22-May, 16?",The highest NOx level on 22-May-16 was in Patna at 36.28.
"Talcher, PM2.5, 02-Oct, 17",No data available for this date and city.
"Where was the PM2.5 level highest on 13-Dec, 19?",The highest PM2.5 level on 13-Dec-19 was in Lucknow at 107.6.
"Compare PM2.5 levels between Jorapokhar and Chennai on 26-Jul, 19.","On 26-Jul-19, PM2.5 level was 36.43 in Jorapokhar and 23.22 in Chennai."
"Patna, CO, 01-Feb, 19",No data available for this date and city.
"Which city had the highest CO level on 23-Jun, 18?",The highest CO level on 23-Jun-18 was in Amaravati at 1.05.
"Coimbatore, NH3, 20-Dec, 16",No data available for this date and city.
"Compare NOx levels between Kochi and Brajrajnagar on 16-Jun, 19.",No data available for this date and city.
"Delhi, SO2, 30-Sep, 19",The SO2 level in Delhi on 30-Sep-19 was 8.22.
"Chandigarh, NO2, 28-Oct, 17",No data available for this date and city.
"Which city had the highest NO2 level on 09-Aug, 15?",The highest NO2 level on 09-Aug-15 was in Mumbai at 19.16.
"Which city had the highest SO2 level on 28-Jan, 18?",The highest SO2 level on 28-Jan-18 was in Visakhapatnam at 18.12.
"Mumbai, PM10, 01-Apr, 19",No data available for this date and city.
"Guwahati, PM10, 27-Mar, 18",No data available for this date and city.
"Which city had the highest NOx level on 26-May, 18?",The highest NOx level on 26-May-18 was in Jaipur at 50.55.
"Where was the PM2.5 level highest on 31-Jan, 16?",The highest PM2.5 level on 31-Jan-16 was in Hyderabad at 77.8.
"Which city had the highest SO2 level on 28-Mar, 19?",The highest SO2 level on 28-Mar-19 was in Gurugram at 17.8.
"Compare PM2.5 levels between Lucknow and Gurugram on 14-Jun, 15.",The PM2.5 level in Lucknow on 14-Jun-15 was 42.28.
"Where was the NO2 level highest on 24-Feb, 17?",The highest NO2 level on 24-Feb-17 was in Bengaluru at 47.21.
"Compare NOx levels between Ahmedabad and Hyderabad on 25-Jan, 19.",No data available for this date and city.
"Chennai, PM2.5, 01-Jun, 20",No data available for this date and city.
"Where was the NO level highest on 18-Jun, 18?",The highest NO level on 18-Jun-18 was in Amritsar at 20.97.
"Compare NO levels between Kolkata and Ernakulam on 30-Nov, 15.",No data available for this date and city.
"Which city had the highest PM10 level on 10-Feb, 15?",The highest PM10 level on 10-Feb-15 was in Mumbai at 58.88.
"Which city had the highest PM10 level on 01-Nov, 18?",The highest PM10 level on 01-Nov-18 was in Hyderabad at 109.17.
"Which city had the highest PM2.5 level on 13-Sep, 16?",The highest PM2.5 level on 13-Sep-16 was in Gurugram at 48.92.
"Patna, SO2, 11-Jul, 19",No data available for this date and city.
"Which city had the highest NO level on 29-Nov, 17?",The highest NO level on 29-Nov-17 was in Visakhapatnam at 10.83.
"Where was the PM10 level highest on 14-May, 18?",The highest PM10 level on 14-May-18 was in Gurugram at 193.84.
"Compare CO levels between Gurugram and Hyderabad on 22-Jun, 17.",No data available for this date and city.
"Where was the NH3 level highest on 11-Jun, 18?",The highest NH3 level on 11-Jun-18 was in Lucknow at 40.34.
"Compare NO2 levels between Delhi and Amritsar on 15-Sep, 19.","On 15-Sep-19, NO2 level was 27.77 in Delhi and 10.58 in Amritsar."
"Compare NOx levels between Shillong and Chennai on 02-Apr, 16.",No data available for this date and city.
"Compare NO levels between Thiruvananthapuram and Ahmedabad on 16-Apr, 16.",No data available for this date and city.
"Compare NOx levels between Gurugram and Chandigarh on 15-Jun, 20.","On 15-Jun-20, NOx level was 10.42 in Gurugram and 3.66 in Chandigarh."
"Which city had the highest NH3 level on 26-Nov, 19?",The highest NH3 level on 26-Nov-19 was in Bengaluru at 17.52.
"Compare NO2 levels between Amritsar and Bengaluru on 29-Sep, 19.","On 29-Sep-19, NO2 level was 10.51 in Amritsar and 22.87 in Bengaluru."
"Compare PM10 levels between Coimbatore and Gurugram on 27-Mar, 16.",No data available for this date and city.
"Which city had the highest CO level on 06-May, 18?",The highest CO level on 06-May-18 was in Thiruvananthapuram at 0.86.
"Compare PM10 levels between Shillong and Kolkata on 09-Sep, 19.","On 09-Sep-19, PM10 level was 10.61 in Shillong and 33.89 in Kolkata."
"Compare PM2.5 levels between Amaravati and Patna on 28-Jan, 18.",The PM2.5 level in Amaravati on 28-Jan-18 was 76.48.
"Which city had the highest PM2.5 level on 17-Apr, 20?",The highest PM2.5 level on 17-Apr-20 was in Lucknow at 79.72.
"Compare NOx levels between Visakhapatnam and Chandigarh on 10-Jan, 15.",No data available for this date and city.
"Where was the NH3 level highest on 05-Nov, 15?",The highest NH3 level on 05-Nov-15 was in Hyderabad at 12.04.
"Compare NO2 levels between Jorapokhar and Ahmedabad on 04-Mar, 20.",No data available for this date and city.
"Compare PM10 levels between Thiruvananthapuram and Jorapokhar on 07-Sep, 18.",The PM10 level in Thiruvananthapuram on 07-Sep-18 was 45.48.
"Which city had the highest PM2.5 level on 16-Feb, 19?",The highest PM2.5 level on 16-Feb-19 was in Gurugram at 80.01.
"Which city had the highest SO2 level on 15-Mar, 20?",The highest SO2 level on 15-Mar-20 was in Gurugram at 15.87.
"Talcher, PM10, 03-May, 16",No data available for this date and city.
"Compare SO2 levels between Patna and Delhi on 18-May, 19.",No data available for this date and city.
"Compare NO levels between Patna and Ahmedabad on 04-Jul, 16.",The NO level in Patna on 04-Jul-16 was 0.7.
"Patna, NOx, 18-May, 15",No data available for this date and city.
"Which city had the highest SO2 level on 11-Aug, 16?",The highest SO2 level on 11-Aug-16 was in Lucknow at 6.79.
"Compare NO levels between Ernakulam and Visakhapatnam on 30-Jun, 19.",No data available for this date and city.
"Which city had the highest PM2.5 level on 22-Mar, 17?",The highest PM2.5 level on 22-Mar-17 was in Amritsar at 55.43.
